Date,セブン＆アイ・ホールディングス,信越化学工業,花王,武田薬品工業,アステラス製薬,第一三共,ダイキン工業,日立製作所,ソニー,キーエンス,ファナック,村田製作所,トヨタ自動車,本田技研工業,ＨＯＹＡ,伊藤忠商事,三井物産,三菱商事,三菱ＵＦＪフィナンシャル・グループ,三井住友フィナンシャルグループ,みずほフィナンシャルグループ,東京海上ホールディングス,日本電信電話,ソフトバンクグループ,大和ハウス工業,積水ハウス,アサヒグループホールディングス,キリンホールディングス,味の素,東レ,旭化成,三菱ケミカルホールディングス,塩野義製薬,エーザイ,小野薬品工業,テルモ,大塚ホールディングス,オリエンタルランド,富士フイルムホールディングス,資生堂,ＥＮＥＯＳホールディングス,ブリヂストン,日本製鉄,住友金属鉱山,住友電気工業,日本郵政,ＳＭＣ,小松製作所,クボタ,三菱電機,富士通,パナソニック,シスメックス,デンソー,京セラ,三菱重工業,日産自動車,スズキ,ＳＵＢＡＲＵ,シマノ,オリンパス,キヤノン,バンダイナムコホールディングス,丸紅,東京エレクトロン,住友商事,ユニ・チャーム,イオン,りそなホールディングス,三井住友トラスト・ホールディングス,オリックス,大和証券グループ本社,野村ホールディングス,ＳＯＭＰＯホールディングス,ＭＳ＆ＡＤインシュアランスグループホールディングス,三井不動産,三菱地所,住友不動産,東日本旅客鉄道,ＡＮＡホールディングス,ソフトバンク,中部電力,関西電力,東京瓦斯,セコム,ニトリホールディングス,ファーストリテイリング
2011/1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/1/5,-0.008178289,0.001112421,-0.000909771,0,0,-0.007312933,0.002396423,0.011415646,-0.002690006,-0.006257991,-0.004728045,0.010398964,0.009188495,-0.007740324,-0.003004416,0.020141968,0.010916823,0.016593985,-0.013483279,-0.015016947,-0.006410215,-0.001633309,-0.002688167,-0.001381692,0.002973198,-0.003614713,-0.002526681,0,-0.007033986,-0.002024247,0,-0.003540023,-0.00123696,-0.009552823,0.009174493,-0.005387902,0.012321338,-0.00132446,-0.002693653,-0.005586613,0.023090661,-0.008733703,-0.010238874,-0.017943506,0.013134883,,0,0.003968056,-0.001283641,0.00813023,-0.012237733,0.001706465,-0.010638398,0.014783341,-0.00940083,0.006493651,0.009925662,0.001973378,0.029733719,-0.011862325,-0.003575469,-0.007066999,0,0.013513333,-0.007692394,0.006739869,-0.004559203,-0.002947053,-0.012371259,-0.0205279,0.004866073,-0.002347562,-0.007633726,-0.00996693,-0.007288428,0.015197526,-0.001976154,0.006635889,-0.011320629,-0.006514792,,0.003494709,0.000496706,0.00277789,-0.011658029,-0.019802202,-0.012102934
2011/1/6,0.019239468,0.035555519,-0.004098534,0.003750008,0.012882637,0.000567987,0.013319701,0.020315944,0.014834987,0.014273597,0.026920023,0.029161196,0.02579648,0.012480446,0.030637984,0.015098919,0.027358218,0.01932996,0.015945506,0.011434231,0.025806282,0.014723636,0.00943402,0.012452336,0.012845956,0.012092211,0,0.007866942,0.012987089,0.024340679,0.007421055,0.007104833,-0.001857415,0.006200154,0.001298701,0.013000973,0.002434407,-0.005305101,0.014517305,0.00112344,-0.003472175,0.008181171,0.020689398,0.009135579,0.015557024,,0.039916055,0.017786405,0.023136186,0.010368485,0.003539854,0.024701843,-0.001792181,0.022546086,0.030842341,0.038709224,0.013513263,0.034957984,0.041033268,0.001200589,0.014353746,0.014234931,0.002259957,0.010000053,0.036821735,0.019246794,0.001520754,0.002955764,0.137786996,0.029939942,-0.007263794,0.058823489,0.040384679,-0.001677753,0.003915729,0.007784342,0.005280446,0.008113522,0.015267077,0,,0.001990099,0.002979051,0.005540093,0.017038092,0,-0.050536176
2011/1/7,-0.024719062,0.017167397,0.002743578,-0.006226634,-0.003179745,0.013590036,0.003370265,0.008849767,0.003322045,-0.004966578,0.010023019,0.018335053,0.022189483,0.003081898,0.004385868,-0.005720787,-0.00700783,-0.01011364,-0.004484476,-0.003083298,0.025157312,0.009673395,-0.006675629,-0.008540975,0.006828985,0.004778672,-0.001899833,0.001734564,0.020978903,-0.001980155,0.001841561,0.017636594,0.002481224,0.010955162,0.002593945,-0.005347367,-0.004856843,0.002666658,0.008319465,0.001122498,0.006968622,0.025593095,-0.013513441,-0.013231294,0.003404578,,0.003366931,0.007767164,0.018844234,-0.005701196,-0.010581919,-0.009975132,0.019748695,0.015264598,-0.002301371,-0.01242222,0.043636723,0.018553906,0.013138871,-0.004796109,0.001179319,-0.014035141,0.003382034,-0.003300177,0.001869135,-0.004105057,0.004572941,0.002946838,-0.040366849,-0.014534928,-0.003658593,-0.013333032,0.001848319,0.01680689,0.003412847,0.010695342,-0.004596154,0.004024444,0.005638873,0.003278714,,-0.002482587,-0.003465188,-0.008264501,-0.009020573,0.020202251,-0.005645004
2011/1/11,-0.006912323,-0.008438764,0.001824092,-0.003759407,-0.003189791,-0.004470008,-0.006382115,0.002192832,-0.003311046,-0.009984388,-0.009160493,0.003269936,0,0.003072331,-0.012615047,0.014959608,0.009174072,0.014048326,-0.0045042,0.004123674,0,-0.001197374,-0.001344159,-0.015506632,-0.013565724,-0.002378123,-0.002538356,-0.009523581,-0.006849304,0.021825423,0.007352991,0.01906435,-0.011757426,-0.005079387,-0.001293484,-0.008602342,0.01122505,0.0106385,0,-0.009528985,-0.003460236,0.018259351,0.037671239,-0.004939919,0.009329847,,-0.010067035,-0.004624048,0.00493215,0.028669783,-0.016042872,-0.007556652,0,0.002338917,-0.009227481,0.006289449,-0.006968663,-0.00934133,0.001440929,-0.004819407,-0.010993287,-0.014234677,0.008988787,0.011589194,-0.005597182,0.009892657,-0.00758411,0.029383082,-0.072657696,-0.00589936,-0.017135882,-0.009009372,-0.01107017,-0.011570435,-0.012147684,-0.011758086,-0.00725608,-0.011523204,-0.009345603,-0.003267999,,-0.006470867,0,0.008333372,0.002600745,-0.009900946,0
2011/1/12,0.000463977,-0.002127863,0.00182057,0.00251579,0.003199998,-0.008977947,-0.004395057,-0.01531762,-0.004319214,-0.008823894,-0.004622051,-0.019575977,0.013024604,0.013782602,-0.007862781,0.00226758,0.004195981,0.000839894,0.03619884,0.026694397,0.030674648,0.02398073,-0.001345816,-0.000700229,0.003929427,0,0.007633538,-0.003496754,0.016091982,0,-0.00547449,-0.008503252,-0.010018864,0,0.005181169,0.005423166,0.007239409,-0.005263295,-0.004950647,-0.00169808,0.006944501,-0.000597687,-0.006600579,0.002127733,0.005042236,,-0.006101869,-0.001935915,-0.002453971,0.011148157,-0.001811563,-0.006768114,-0.014084641,0,0.002328443,-0.006250139,-0.002339156,-0.013672956,0.004316452,-0.004842746,-0.004366609,0,-0.010022159,0.003273243,0.007504955,0.002448975,-0.003055093,0,0.024742246,0,0.016189291,0.002272772,-0.001865561,0.008361322,0.009837685,0.029744625,0.035216044,0.042067923,-0.001886862,-0.003278542,,0,-0.000993633,-0.005509569,-0.001296999,0.004285594,-0.004866182
2011/1/13,0.017625218,0.020256094,0.00908671,0.00501868,0.012759164,0.010192263,0.005093304,0.008889336,-0.007006864,-0.005933282,0.010061715,0.008321155,0.010000114,0.018126999,0.009410601,0.029411741,0.010445866,0.005452824,0.013100475,0.016666501,0.023809601,0.010148572,0.005390749,-0.007355514,0.012720102,0.020262379,0.004419193,0.008772056,0.015837131,-0.001941705,0.012843981,0.01029154,-0.017710262,0.009870572,0.009020354,0,-0.000958249,-0.003968358,0.011608468,0.009637266,0.020689598,-0.034091262,0.003322218,-0.000707873,0.012541644,,0.000682295,-0.005430544,-0.002460008,0.011025246,-0.003629984,0.005962268,0.00178578,0.008333235,0.012775811,0,0.005861601,0.008604353,0.001432556,0.001216594,-0.005582336,0.020457184,0.01462311,0.02447017,0.001861819,0.003257273,0.015331164,0.000951414,0.002011945,0.050444876,0.014705864,0.015872945,0.029906506,0.008291854,0.001948453,0.013286852,0.03337617,0.013132209,0.024574922,0.006578825,,-0.003507043,0.000994622,0.002770046,0.001298684,-0.004267306,-0.012224901
2011/1/14,0.000456007,-0.013584288,-0.010355707,-0.003745236,-0.009448718,-0.012332647,-0.023310789,-0.015418489,-0.011760903,-0.031130164,-0.018390731,-0.006598889,0.004243069,-0.007418577,-0.007850549,0.003296859,-0.018608003,-0.01084687,-0.015086189,-0.01147519,-0.017441749,-0.011592137,0.005362072,0,-0.005797173,-0.003504724,-0.006284984,-0.014782786,-0.007795153,0.001945483,-0.001811536,-0.006791205,0.01674173,-0.007414923,0.005108646,-0.024811256,0.000959168,-0.001327978,-0.001639268,-0.014036991,-0.015202643,-0.031578802,-0.016556178,-0.01628868,-0.004954608,,-0.011588318,-0.010530427,0.008631307,-0.004361856,-0.012750332,-0.008466998,-0.005347499,-0.018181934,-0.020642114,0.003144852,-0.013985961,-0.018483491,-0.022889497,-0.014580578,-0.030473185,-0.012971747,-0.016629636,0,0.031598951,-0.012986792,-0.012081485,0.009505581,-0.012048228,-0.008474535,-0.003623064,-0.022321491,-0.018148729,-0.01973701,0.001458311,-0.013112626,-0.01925481,-0.020163201,-0.005535152,-0.003267999,,0,-0.000993633,-0.011049873,-0.009079072,-0.004285908,0.064356285
2011/1/17,0.003644592,0.023305091,0.010919056,0.002506241,-0.003179745,0.00113532,0.000346239,-0.004474319,-0.001359866,-0.013645269,0.003903052,0.00165923,-0.01408441,-0.005979046,-0.003956778,-0.007667197,-0.002106637,-0.002108961,0,0,-0.005917347,-0.004300239,-0.001333331,-0.005998586,-0.006802596,-0.011723335,0.000632446,0.003530907,0.003366958,0.001941635,0.005444683,0.015384639,-0.006333078,0.001697951,0.001270648,-0.002212336,-0.008624896,-0.001329666,0.009852426,0.001708475,-0.02229845,-0.008951388,0,-0.004319803,-0.002489544,,-0.010344887,-0.009459963,-0.004889853,0.007666835,0.009225221,-0.005977977,-0.016129136,-0.005386959,-0.002342004,0,-0.010638482,-0.017383007,0.002927916,-0.008631473,0.002895059,0,0.005636895,-0.014331212,0.034233914,-0.00411166,-0.024468024,0.016949239,-0.018292692,-0.005698089,-0.006060638,-0.013698515,-0.011090631,-0.015100598,-0.003883415,-0.001155625,-0.003799708,0,-0.012987063,0,,0.000502836,0.0004972,0,0,0.004304356,0.005426374
2011/1/18,-0.002723621,-0.003105555,0.001350082,-0.004999951,-0.004784832,-0.006802552,-0.00414943,0.006741466,0.004766609,0.003569372,0.00544321,-0.001656481,0.002857031,-0.001503777,-0.003972125,0.007726437,0.011963241,0.010989212,0,0.011608399,0.011904839,0.002355698,0.001335111,0.007454933,-0.006849425,-0.010676311,-0.002528639,-0.000879823,-0.004474292,0.029069837,0.01444025,0.018518454,-0.0095604,-0.003051019,-0.011421236,-0.005543275,-0.001449952,0,0,-0.002274189,0.010526248,0,-0.01346803,0.003615215,-0.003327783,,0.002787568,-0.00159158,-0.001228628,0.005434978,0.007312582,-0.003436513,-0.018214813,0.007447344,-0.007042294,0.04075228,0.008363213,-0.00982784,-0.001459743,-0.001243704,-0.008659649,-0.001194918,-0.001121026,0.024232541,0.001742249,0.014863415,-0.012536158,0.003703467,-0.004140526,0.005730743,0.007316942,0,0,0.001703338,0.000974576,0.014459186,0.034329267,0.002449994,0.009398733,0.003278714,,0.000502427,0.002485208,0.005586669,0.001308883,0.007142657,-0.00308393
